id,title,title_fr
10000,Abortion Service,Service d'avortement
10001,Abruzzo Restaurant,Restaurant des Abruzzes
10002,Academic Camp,Camp académique
10003,Accessories,Accessoires
10004,Accountant,Comptable
10005,Actor,Acteur de cinéma
10006,Acupuncturist,Acupuncteur
10007,Addiction Resources Center,Centre de ressources sur la toxicomanie
10008,Addiction Service,Service de toxicomanie
10009,Addiction Treatment Center,Centre de traitement de la toxicomanie
10010,Adoption Service,Service d'adoption
10011,Adult Entertainment Club,Club de divertissement pour adultes
10012,Adult Entertainment Service,Service de divertissement pour adultes
10013,Advertising Agency,Agence de publicité
10014,Advertising/Marketing,Marketing publicitaire
10015,Aerospace Company,Entreprise aérospatiale
10016,Afghan Restaurant,Restaurant afghan
10017,African Methodist Episcopal Church,Église épiscopale méthodiste africaine
10018,African Restaurant,Restaurant Africain
10019,Agricultural Cooperative,Coopérative agricole
10020,Agricultural Service,Service agricole
10021,Agriculture,Agriculture
10022,Agriculture Company,Entreprise agricole
10023,AIDS Resource Center,Centre de ressources sur le sida
10024,Aircraft Dealership,Concessionnaire d'avions
10025,Airline Company,Compagnie aérienne
10026,Airline Industry Service,Service de l'industrie aérienne
10027,Airport,Aéroport
10028,Airport Lounge,Salon de l'aéroport
10029,Airport Shuttle Service,Service de navette aéroport
10030,Airport Terminal,Terminal d'aéroport
10031,Album,Album
10032,Alcohol Addiction Treatment Center,Centre de traitement de la dépendance à l'alcool
10033,Allergist,Allergologue
10034,Alternative & Holistic Health Service,Service de santé alternative et holistique
10035,Amateur Photographer,Photographe amateur
10036,Amateur Sports League,Ligue sportive amateur
10037,Amateur Sports Team,Équipe sportive amateur
10038,American Restaurant,Restaurant américain
10039,Amphitheater,Amphithéâtre
10040,Amusement & Theme Park,Parc d'attractions et à thème
10041,Andhra Restaurant,Restaurant Andra
10042,Anesthesiologist,Anesthésiste
10043,Anglican Church,Église anglicane
10044,Animal,Animal
10045,Animal Breed,Race animale
10046,Animal Rescue Service,Service de sauvetage des animaux
10047,Animal Shelter,Refuge animalier
10048,Animation Studio,Studio d'animations
10049,Antique Store,Magasin d'antiquité
10050,Apartment & Condo Building,Immeuble d'appartements et de condos
10051,Apostolic Church,Église apostolique
10052,App Page,Page de l'application
10053,Apparel & Clothing,Vêtements et vêtements
10054,Apparel Distributor,Distributeur de vêtements
10055,Appliance Manufacturer,Fabricant d'appareils électroménagers
10056,Appliance Repair Service,Service de réparation d'électroménager
10057,Appliance Store,Magasin d'appareils
10058,Appliances,appareils électroménagers
10059,Aquarium,Aquarium
10060,Aquatic Pet Store,Animalerie aquatique
10061,Arabian Restaurant,Restaurant arabe
10062,Arboretum,Arboretum
10063,Arcade,Arcade
10064,Archaeological Service,Service Archéologique
10065,Archery Range,Tir à l'arc
10066,Archery Shop,Boutique de tir à l'arc
10067,Architect,Architecte
10068,Architectural Designer,Concepteur en architecture
10069,Architectural Engineer,Ingénieur architecte
10070,Architectural Tour Agency,Agence de visites architecturales
10071,Argentinian Restaurant,Restaurant argentin
10072,Armed Forces,Forces armées
10073,Armenian Restaurant,Restaurant arménien
10074,Aromatherapy Service,Service d'aromathérapie
10075,Art,Art
10076,Art Gallery,Galerie d'art
10077,Art Museum,Musée d'art
10078,Art Restoration Service,Service de restauration d'œuvres d'art
10079,Art School,École d'art
10080,Art Tour Agency,Agence de voyages artistiques
10081,Article,Article
10082,Artist,Artiste
10083,Arts & Crafts Store,Magasin d'art et d'artisanat
10084,Arts & Entertainment,Culture & Loisirs
10085,Arts & Humanities Website,Site Web des arts et des sciences humaines
10086,Asian Fusion Restaurant,Restaurant fusion asiatique
10087,Asian Restaurant,Restaurant asiatique
10088,Assemblies of God,Assemblées de Dieu
10089,Astrologist,Astrologue
10090,Astrologist & Psychic,Astrologue et médium
10091,Athlete,Athlète
10092,ATV Dealership,Concessionnaire de VTT
10093,ATV Recreation Park,Parc de loisirs VTT
10094,ATV Rental,Location de VTT
10095,Auction House,Maison de vente aux enchères
10096,Audio Visual Equipment Store,Magasin d'équipement audiovisuel
10097,Audiologist,Audiologiste
10098,Auditorium,Salle
10099,Australian Restaurant,Restaurant Australien
10100,Austrian Restaurant,Restaurant Autrichien
10101,Author,Auteur
10102,Auto Dealers,Concessionnaires automobiles
10103,Auto Detailing Service,Service d'esthétique automobile
10104,Automated Teller Machine (ATM),Guichet automatique bancaire (GAB)
10105,Automation Service,Service d'automatisation
10106,Automotive Body Shop,Carrosserie automobile
10107,Automotive Consultant,Consultant automobile
10108,Automotive Customization Shop,Atelier de personnalisation automobile
10109,Automotive Dealership,Concessionnaire automobile
10110,Automotive Glass Service,Service de verre automobile
10111,Automotive Leasing Service,Service de crédit-bail automobile
10112,Automotive Manufacturer,Constructeur automobile
10113,Automotive Parts Store,Magasin de pièces automobiles
10114,Automotive Registration Center,Centre d'immatriculation automobile
10115,Automotive Repair Shop,Atelier de réparation automobile
10116,Automotive Restoration Service,Service de restauration automobile
10117,Automotive Service,Service automobile
10118,Automotive Shipping Service,Service d'expédition automobile
10119,Automotive Storage Facility,Installation de stockage automobile
10120,Automotive Store,Magasin automobile
10121,Automotive Wheel Polishing Service,Service de polissage de roues automobiles
10122,Automotive Wholesaler,Grossiste automobile
10123,Automotive Window Tinting Service,Service de teinture de vitres automobiles
10124,Automotive; Aircraft & Boat,Automobile; Avion et Bateau
10125,Aviation Repair Station,Station de réparation aéronautique
10126,Aviation School,École d'aviation
10127,Avionics Shop,Boutique avionique
10128,Awning Supplier,Fournisseur d'auvents
10129,Azerbaijani Restaurant,Restaurant azerbaïdjanais
11000,Baby & Children’s Clothing Store,Magasin de vêtements pour bébés et enfants
11001,Baby Goods/Kids Goods,Articles pour bébés/articles pour enfants
11002,Babysitter,Baby-sitter
11003,Baden Restaurant,Bade-Restaurant
11004,Badminton Court,Terrain de badminton
11005,Bagel Shop,Boutique de bagels
11006,Bags & Luggage Company,Entreprise de sacs et bagages
11007,Bags & Luggage Store,Magasin de sacs et bagages
11008,Bags/Luggage,Sacs/Bagages
11009,Bail Bondsmen,Gardiens de caution
11010,Bakery,Pâtisserie
11011,Balinese Restaurant,Restaurant balinais
11012,Balloonport,Montgolfière
11013,Ballroom,Salle de bal
11014,Band,Bande
11015,Bank,Banque
11016,Bank Equipment & Service,Équipement et services bancaires
11017,Bankruptcy Lawyer,Avocat en faillite
11018,Baptist Church,Église baptiste
11019,Bar,Bar
11020,Bar & Grill,Bar & Grillades
11021,Barbecue Restaurant,Restaurant-barbecue
11022,Barber Shop,Salon de coiffure
11023,Bartending School,École de barman
11024,Bartending Service,Service de barman
11025,Baseball Field,Terrain de baseball
11026,Baseball Stadium,Stade de baseball
11027,Basilicata Restaurant,Restaurant Basilicate
11028,Basketball Court,Terrain de basketball
11029,Basketball Stadium,Stade de basket
11030,Basque Restaurant,Restaurant basque
11031,Batting Cage,Cage de frappeur
11032,Bavarian Restaurant,Restaurant bavarois
11033,Bay,Baie
11034,Beach,Plage
11035,Beach Resort,station balnéaire
11036,Beauty Salon,Salon de beauté
11037,Beauty Store,Magasin de beauté
11038,Beauty Supplier,Fournisseur de beauté
11039,Beauty Supply Store,Magasin de produits de beauté
11040,Beauty; Cosmetic & Personal Care,Beauté; Cosmétique et soins personnels
11041,Beauty/Cosmetics Company,Entreprise de beauté/cosmétique
11042,Bed and Breakfast,Lit et petit déjeuné
11043,Beer Bar,Bar à bière
11044,Beer Garden,Jardin de la bière
11045,Beijing Restaurant,Restaurant de Pékin
11046,Belarusian Restaurant,Restaurant biélorusse
11047,Belgian Restaurant,Restaurant Belge
11048,Bengali/Bangladeshi Restaurant,Restaurant bengali/bangladais
11049,Betawinese Restaurant,Restaurant Betawine
11050,Betting Shop,Boutique de paris
11051,Bicycle Repair Service,Service de réparation de vélos
11052,Bicycle Shop,Magasin de vélo
11053,Big Box Retailer,Détaillant à grande surface
11054,Bike Rental,Location de vélos
11055,Bike Trail,Piste cyclable
11056,Bingo Hall,Salle de bingo
11057,Biotechnology Company,Société de biotechnologie
11058,Blacksmith,Forgeron
11059,Blinds & Curtains Store,Magasin de stores et rideaux
11060,Blogger,Blogueur
11061,Blood Bank,Banque du sang
11062,Board Game,Jeu de plateau
11063,Boat / Sailing Instructor,Bateau / Moniteur de Voile
11064,Boat Dealership,Concessionnaire de bateaux
11065,Boat Rental,Location de bateaux
11066,Boat Service,Service de bateau
11067,Boat Tour Agency,Agence d'excursions en bateau
11068,Boat/Ferry Company,Compagnie de bateaux/ferries
11069,Bolivian Restaurant,Restaurant bolivien
11070,Book,Livre
11071,Book & Magazine Distributor,Distributeur de livres et de magazines
11072,Book Genre,Genre de livre
11073,Book Series,Séries de livres
11074,Books & Magazines,Livres et revues
11075,Bookstore,Librairie
11076,Borough,Arrondissement
11077,Bossam/Jokbal Restaurant,Restaurant Bossam/Jokbal
11078,Botanical Garden,jardin botanique
11079,Bottled Water Company,Compagnie d'eau en bouteille
11080,Bottled Water Supplier,Fournisseur d'eau en bouteille
11081,Boutique Store,Boutique Boutique
11082,Bowling Alley,Allée de bowling
11083,Boxing Studio,Studio de boxe
11084,Brand,Marque
11085,Brand Agency,Agence de marque
11086,Brands & Products,Marques & Produits
11087,Brazilian Restaurant,Resto Brésilien
11088,Breakfast & Brunch Restaurant,Restaurant petit-déjeuner et brunch
11089,Brewery,Brasserie
11090,Bridal Shop,Boutique de mariage
11091,Bridge,Pont
11092,British Restaurant,Restaurant britannique
11093,Broadcasting & Media Production Company,Société de radiodiffusion et de production médiatique
11094,Brokerage Firm,Cabinet de courtage
11095,Bubble Tea Shop,Boutique de thé aux bulles
11096,Buddhist Temple,Temple bouddhiste
11097,Buffet Restaurant,Restaurant-Buffet
11098,Building Material Store,Magasin de matériaux de construction
